"base_model","shape","talla","rank","alpha","network","optimizer","ep","batch","gas","unet_lr","te_lr","sched","warm","snr","noise_off","wd","d_coef","workers","x_over"
"mann-e/Mann-E_Dreams","style","M","32","32","conv","adamw","25","8","1","3.2E-05","1.5E-06","cosine","75","6","0.03","0.0001",,"4",""
"mann-e/Mann-E_Dreams","style","G","32","32","conv","adamw","18","10","1","3.6E-05","1.8E-06","cosine","100","6","0.035","0.0001",,"6",""
"mann-e/Mann-E_Dreams","style","EG","32","32","conv","adamw","11","12","1","4E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
"mann-e/Mann-E_Dreams","subject","ECH","64","64","plain","prodigy","35","4","2","0.8","0.8","constant",,"6",,"0.015","1.3","4",""
"mann-e/Mann-E_Dreams","subject","CH","64","64","plain","prodigy","32","6","1","0.9","0.9","constant",,"6",,"0.015","1.2","4",""
"mann-e/Mann-E_Dreams","subject","M","64","64","plain","prodigy","26","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"mann-e/Mann-E_Dreams","subject","G","64","64","plain","prodigy","19","10","1","1.1","1.1","constant_with_warmup","75","6",,"0.01","1.0","6",""
"mann-e/Mann-E_Dreams","subject","EG","64","64","plain","prodigy","11","12","1","1.2","1.2","constant_with_warmup","100","6",,"0.01","0.9","8",""
"misri/leosamsHelloworldXL_helloworldXL70","style","ECH","32","32","conv","adamw","45","4","2","3.2E-05","1.6E-06","constant_with_warmup","30","5","0.025","0.00015",,"4","caption_dropout_rate;huber_c;huber_schedule"
"misri/leosamsHelloworldXL_helloworldXL70","style","CH","32","32","conv","adamw","33","6","1","2.8E-05","1.2E-06","cosine","50","6","0.025","0.00012",,"4",""
"misri/leosamsHelloworldXL_helloworldXL70","style","M","32","32","conv","adamw","26","8","1","3.2E-05","1.5E-06","cosine","75","6","0.03","0.0001",,"4",""
"misri/leosamsHelloworldXL_helloworldXL70","style","G","32","32","conv","adamw","18","10","1","3.6E-05","1.8E-06","cosine","100","6","0.035","0.0001",,"6",""
"misri/leosamsHelloworldXL_helloworldXL70","style","EG","32","32","conv","adamw","11","12","1","4E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
"misri/leosamsHelloworldXL_helloworldXL70","subject","ECH","32","32","conv","prodigy","42","4","2","0.85","0.85","constant_with_warmup","30","5",,"0.015","1.5","4","caption_dropout_rate;huber_c;huber_schedule;loss_type"
"misri/leosamsHelloworldXL_helloworldXL70","subject","CH","32","32","conv","prodigy","35","6","1","0.88","0.88","constant_with_warmup","35","5",,"0.014","1.45","4","caption_dropout_rate;huber_c;huber_schedule;loss_type"
"misri/leosamsHelloworldXL_helloworldXL70","subject","M","32","32","conv","prodigy","27","8","1","0.95","0.95","constant_with_warmup","45","5",,"0.013","1.4","4","caption_dropout_rate;huber_c;huber_schedule;loss_type"
"misri/leosamsHelloworldXL_helloworldXL70","subject","G","32","32","conv","prodigy","22","10","1","1.05","1.05","constant_with_warmup","60","5",,"0.012","1.35","6","caption_dropout_rate;huber_c;huber_schedule;loss_type"
"misri/leosamsHelloworldXL_helloworldXL70","subject","EG","32","32","conv","prodigy","11","12","1","1.2","1.2","constant_with_warmup","100","5",,"0.01","0.9","8","caption_dropout_rate;huber_c;huber_schedule;loss_type"
"misri/zavychromaxl_v90","style","ECH","32","32","conv","adamw","36","4","2","2.31E-05","1E-06","constant_with_warmup","20","5","0.02","0.0001",,"4","caption_dropout_rate"
"misri/zavychromaxl_v90","style","CH","32","32","conv","adamw","30","6","1","2.94E-05","1.2E-06","cosine","40","5","0.025","0.0001",,"4","caption_dropout_rate"
"misri/zavychromaxl_v90","style","M","32","32","conv","adamw","24","8","1","3.36E-05","1.5E-06","cosine","65","5","0.03","8E-05",,"4","caption_dropout_rate"
"misri/zavychromaxl_v90","style","G","32","32","conv","adamw","16","10","1","3.78E-05","1.8E-06","cosine","90","5","0.035","8E-05",,"6","caption_dropout_rate"
"misri/zavychromaxl_v90","style","EG","32","32","conv","adamw","10","12","1","4.2E-05","2E-06","cosine","100","5","0.04","8E-05",,"8","caption_dropout_rate"
"misri/zavychromaxl_v90","subject","ECH","32","32","conv","prodigy","33","4","2","0.84","0.84","constant_with_warmup","20","5",,"0.015","1.38","4","caption_dropout_rate;huber_c;huber_schedule;loss_type"
"misri/zavychromaxl_v90","subject","CH","32","32","conv","prodigy","30","6","1","0.945","0.945","constant_with_warmup","25","5",,"0.015","1.28","4","caption_dropout_rate;huber_c;huber_schedule;loss_type"
"misri/zavychromaxl_v90","subject","M","32","32","conv","prodigy","25","8","1","1.05","1.05","constant_with_warmup","40","5",,"0.012","1.18","4","caption_dropout_rate;huber_c;huber_schedule;loss_type"
"misri/zavychromaxl_v90","subject","G","32","32","conv","prodigy","19","10","1","1.155","1.155","constant_with_warmup","75","5",,"0.01","1.05","6","caption_dropout_rate;huber_c;huber_schedule;loss_type"
"misri/zavychromaxl_v90","subject","EG","32","32","conv","prodigy","10","12","1","1.26","1.26","constant_with_warmup","80","5",,"0.01","0.95","8","caption_dropout_rate;huber_c;huber_schedule;loss_type"
"OnomaAIResearch/Illustrious-xl-early-release-v0","style","ECH","32","32","conv","adamw","52","4","2","3E-05","1.2E-06","constant_with_warmup","25","7","0.02","0.01",,"4",""
"OnomaAIResearch/Illustrious-xl-early-release-v0","style","CH","32","32","conv","adamw","52","8","1","3.5E-05","1.4E-06","cosine","50","7","0.025","0.01",,"4",""
"OnomaAIResearch/Illustrious-xl-early-release-v0","style","M","32","32","conv","adamw","40","8","1","4E-05","1.6E-06","constant_with_warmup","25","7","0.035","0.01",,"4",""
"OnomaAIResearch/Illustrious-xl-early-release-v0","style","G","32","32","conv","adamw","30","10","1","4.5E-05","1.8E-06","cosine","100","7","0.035","0.01",,"6",""
"OnomaAIResearch/Illustrious-xl-early-release-v0","style","EG","32","32","conv","adamw","20","12","1","3.5E-05","1.4E-06","cosine","120","7","0.04","0.01",,"8",""
"OnomaAIResearch/Illustrious-xl-early-release-v0","subject","ECH","32","32","plain","prodigy","30","5","1","0.95","0.95","constant",,"6",,"0.01","1.15","6",""
"OnomaAIResearch/Illustrious-xl-early-release-v0","subject","CH","32","32","plain","prodigy","32","5","1","0.95","0.95","constant",,"6",,"0.01","1.15","6",""
"OnomaAIResearch/Illustrious-xl-early-release-v0","subject","M","32","32","plain","prodigy","34","6","1","0.97","0.97","constant",,"6",,"0.01","1.15","6",""
"OnomaAIResearch/Illustrious-xl-early-release-v0","subject","G","32","32","plain","prodigy","30","7","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","6",""
"OnomaAIResearch/Illustrious-xl-early-release-v0","subject","EG","32","32","plain","prodigy","28","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","8",""
"openart-custom/DynaVisionXL","style","ECH","32","32","conv","adamw","38","4","2","2.2E-05","1E-06","constant_with_warmup","25","6","0.02","0.00015",,"4",""
"openart-custom/DynaVisionXL","style","CH","32","32","conv","adamw","24","6","1","2.8E-05","1.2E-06","cosine","35","6","0.025","0.00012",,"4",""
"openart-custom/DynaVisionXL","style","M","32","32","conv","adamw","25","8","1","3.2E-05","1.5E-06","cosine","75","6","0.03","0.0001",,"4",""
"openart-custom/DynaVisionXL","style","G","32","32","conv","adamw","18","10","1","3E-05","1.8E-06","cosine","100","6","0.035","0.0001",,"6",""
"openart-custom/DynaVisionXL","style","EG","32","32","conv","adamw","11","12","1","4E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
"openart-custom/DynaVisionXL","subject","ECH","32","32","plain","prodigy","43","4","2","0.8","0.8","constant",,"6",,"0.015","1.3","4",""
"openart-custom/DynaVisionXL","subject","CH","32","32","plain","prodigy","55","4","1","0.9","0.9","constant",,"7",,"0.015","1.2","4","caption_dropout_rate"
"openart-custom/DynaVisionXL","subject","M","32","32","plain","prodigy","26","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"openart-custom/DynaVisionXL","subject","G","32","32","plain","prodigy","27","8","1","1.1","1.1","constant_with_warmup","75","6",,"0.01","1.0","6",""
"openart-custom/DynaVisionXL","subject","EG","32","32","plain","prodigy","11","12","1","1.2","1.2","constant_with_warmup","100","6",,"0.01","0.9","8",""
"recoilme/colorfulxl","style","ECH","32","32","conv","adamw","43","4","2","2.42E-05","1E-06","constant_with_warmup","25","7","0.02","0.00015",,"4",""
"recoilme/colorfulxl","style","CH","32","32","conv","adamw","46","6","1","3E-05","3E-06","cosine","40","7","0.0411","0.00012",,"2",""
"recoilme/colorfulxl","style","M","32","32","conv","adamw","27","8","1","3.52E-05","1.5E-06","cosine","75","7","0.03","0.0001",,"4",""
"recoilme/colorfulxl","style","G","32","32","conv","adamw","25","8","1","3E-05","3E-06","cosine","75","7","0.0411","0.00012",,"2",""
"recoilme/colorfulxl","style","EG","32","32","conv","adamw","11","12","1","4.4E-05","2E-06","cosine","25","7","0.0357","0.0001",,"8",""
"recoilme/colorfulxl","subject","ECH","32","32","plain","prodigy","45","4","2","0.9","0.9","constant",,"7",,"0.01","0.9","4",""
"recoilme/colorfulxl","subject","CH","32","32","plain","prodigy","40","6","1","1.1","1.1","constant",,"7",,"0.01","1.0","2",""
"recoilme/colorfulxl","subject","M","32","32","plain","prodigy","28","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.0","4",""
"recoilme/colorfulxl","subject","G","32","32","plain","prodigy","26","8","1","1.05","1.05","constant_with_warmup","50","7",,"0.01","1.05","6",""
"recoilme/colorfulxl","subject","EG","32","32","plain","prodigy","12","12","1","1.1","1.1","constant_with_warmup","100","6",,"0.01","1.1","8",""
"SG161222/RealVisXL_V4.0","style","ECH","32","32","conv","adamw","32","4","2","2.2E-05","1E-06","constant_with_warmup","25","5","0.02","0.00015",,"4",""
"SG161222/RealVisXL_V4.0","style","CH","32","32","conv","adamw","27","6","1","2.8E-05","1.2E-06","cosine","50","5","0.025","0.00012",,"4",""
"SG161222/RealVisXL_V4.0","style","M","32","32","conv","adamw","21","8","1","3.2E-05","1.5E-06","cosine","75","5","0.03","0.0001",,"4",""
"SG161222/RealVisXL_V4.0","style","G","32","32","conv","adamw","15","10","1","3.6E-05","1.8E-06","cosine","100","5","0.035","0.0001",,"6",""
"SG161222/RealVisXL_V4.0","style","EG","32","32","conv","adamw","9","12","1","4E-05","2E-06","cosine","120","5","0.04","0.0001",,"8",""
"SG161222/RealVisXL_V4.0","subject","ECH","64","64","conv","prodigy","43","8","1","0.9","0.9","constant",,"7",,"0.015","1.2","4",""
"SG161222/RealVisXL_V4.0","subject","CH","64","64","conv","prodigy","27","6","1","0.9","0.9","constant",,"5",,"0.015","1.2","4",""
"SG161222/RealVisXL_V4.0","subject","M","64","64","conv","prodigy","40","8","1","1.0","1.0","constant_with_warmup","50","7",,"0.01","1.1","4",""
"SG161222/RealVisXL_V4.0","subject","G","64","64","conv","prodigy","16","10","1","1.1","1.1","constant_with_warmup","75","5",,"0.01","1.0","6",""
"SG161222/RealVisXL_V4.0","subject","EG","64","64","conv","prodigy","9","12","1","1.2","1.2","constant_with_warmup","100","5",,"0.01","0.9","8",""
"stabilityai/stable-diffusion-xl-base-1.0","style","ECH","32","32","conv","adamw","28","4","2","3E-05","1E-06","constant_with_warmup","25","6","0.02","0.00015",,"4",""
"stabilityai/stable-diffusion-xl-base-1.0","style","CH","32","32","conv","adamw","32","6","1","2.8E-05","1.2E-06","cosine","50","6","0.025","0.00012",,"4",""
"stabilityai/stable-diffusion-xl-base-1.0","style","M","32","32","conv","adamw","24","8","1","3.2E-05","1.5E-06","cosine","75","6","0.025","0.0001",,"4",""
"stabilityai/stable-diffusion-xl-base-1.0","style","G","32","32","conv","adamw","18","10","1","3.6E-05","1.8E-06","cosine","100","6","0.035","0.0001",,"6",""
"stabilityai/stable-diffusion-xl-base-1.0","style","EG","32","32","conv","adamw","11","12","1","4E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
"stabilityai/stable-diffusion-xl-base-1.0","subject","ECH","32","32","conv","prodigy","50","4","2","0.8","0.8","constant",,"6",,"0.015","1.3","4",""
"stabilityai/stable-diffusion-xl-base-1.0","subject","M","32","32","conv","prodigy","35","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"stabilityai/stable-diffusion-xl-base-1.0","subject","EG","32","32","conv","prodigy","18","12","1","1.2","1.2","constant_with_warmup","100","6",,"0.01","0.9","8",""
"stablediffusionapi/omnium-sdxl","style","ECH","32","32","conv","adamw","48","6","1","2.2E-05","1E-06","cosine","20","5","0.02","0.0",,"4",""
"stablediffusionapi/omnium-sdxl","style","CH","32","32","conv","adamw","40","6","1","2.8E-05","1.2E-06","cosine","20","7","0.025","0.0",,"4",""
"stablediffusionapi/omnium-sdxl","style","M","32","32","conv","adamw","40","6","1","3.2E-05","1.5E-06","cosine","20","5","0.01","0.0",,"4",""
"stablediffusionapi/omnium-sdxl","style","G","32","32","conv","adamw","38","6","1","3.6E-05","1.8E-06","cosine","20","7","0.035","0.0",,"6",""
"stablediffusionapi/omnium-sdxl","style","EG","32","32","conv","adamw","11","12","1","4E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
"stablediffusionapi/omnium-sdxl","subject","ECH","32","32","conv","prodigy","35","4","2","0.8","0.8","constant",,"6",,"0.015","1.3","4",""
"stablediffusionapi/omnium-sdxl","subject","CH","32","32","conv","prodigy","30","4","1","1.0","1.0","constant",,"5",,"0.01","1.0","2","network_alpha;network_dim;prior_loss_weight"
"stablediffusionapi/omnium-sdxl","subject","M","32","32","conv","prodigy","26","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"stablediffusionapi/omnium-sdxl","subject","G","32","32","conv","prodigy","30","8","1","1.1","1.1","constant_with_warmup","30","7",,"0.01","1.0","6",""
"stablediffusionapi/omnium-sdxl","subject","EG","32","32","conv","prodigy","11","12","1","1.2","1.2","constant_with_warmup","100","6",,"0.01","0.9","8",""
"stablediffusionapi/protovision-xl-v6.6","style","ECH","32","32","conv","adamw","43","4","2","3.2E-05","1.6E-06","constant_with_warmup","30","5","0.025","0.00015",,"4","caption_dropout_rate;huber_c;huber_schedule"
"stablediffusionapi/protovision-xl-v6.6","style","CH","32","32","conv","adamw","32","6","1","2.8E-05","1.2E-06","cosine","50","6","0.025","0.00012",,"4",""
"stablediffusionapi/protovision-xl-v6.6","style","M","32","32","conv","adamw","25","8","1","3.2E-05","1.5E-06","cosine","75","6","0.03","0.0001",,"4",""
"stablediffusionapi/protovision-xl-v6.6","style","G","32","32","conv","adamw","18","10","1","3.6E-05","1.8E-06","cosine","100","6","0.035","0.0001",,"6",""
"stablediffusionapi/protovision-xl-v6.6","style","EG","32","32","conv","adamw","11","12","1","4E-05","2E-06","cosine","120","6","0.04","0.0001",,"8",""
"stablediffusionapi/protovision-xl-v6.6","subject","ECH","32","32","conv","prodigy","45","6","1","0.9","0.9","constant",,"7",,"0.015","1.2","4",""
"stablediffusionapi/protovision-xl-v6.6","subject","CH","32","32","conv","prodigy","32","6","1","0.9","0.9","constant",,"6",,"0.015","1.2","4",""
"stablediffusionapi/protovision-xl-v6.6","subject","M","32","32","conv","prodigy","26","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"stablediffusionapi/protovision-xl-v6.6","subject","G","32","32","conv","prodigy","35","10","1","1.0","1.0","constant_with_warmup","100","4",,"0.01","1.0","6","huber_c;huber_schedule;prior_loss_weight;scale_weight_norms"
"stablediffusionapi/protovision-xl-v6.6","subject","EG","32","32","conv","prodigy","11","12","1","1.2","1.2","constant_with_warmup","100","6",,"0.01","0.9","8",""
"zenless-lab/sdxl-aam-xl-anime-mix","style","ECH","32","32","conv","adamw","48","4","2","2.5E-05","1E-06","constant_with_warmup","25","6","0.02","0.01",,"4",""
"zenless-lab/sdxl-aam-xl-anime-mix","style","CH","32","32","conv","adamw","45","8","1","3E-05","1.2E-06","cosine","50","6","0.025","0.01",,"4",""
"zenless-lab/sdxl-aam-xl-anime-mix","style","M","32","32","conv","adamw","36","8","1","3.5E-05","1.4E-06","cosine","75","6","0.03","0.01",,"4",""
"zenless-lab/sdxl-aam-xl-anime-mix","style","G","32","32","conv","adamw","26","10","1","4E-05","1.6E-06","cosine","100","6","0.035","0.01",,"6",""
"zenless-lab/sdxl-aam-xl-anime-mix","style","EG","32","32","conv","adamw","16","12","1","4.5E-05","1.8E-06","cosine","120","6","0.04","0.01",,"8",""
"zenless-lab/sdxl-aam-xl-anime-mix","subject","ECH","64","64","plain","prodigy","48","4","2","0.9","0.9","constant",,"6",,"0.01","1.2","4",""
"zenless-lab/sdxl-aam-xl-anime-mix","subject","CH","64","64","plain","prodigy","58","6","1","0.85","0.85","constant",,"6",,"0.01","1.0","4",""
"zenless-lab/sdxl-aam-xl-anime-mix","subject","M","64","64","plain","prodigy","36","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"zenless-lab/sdxl-aam-xl-anime-mix","subject","G","64","64","plain","prodigy","24","8","1","1.05","1.05","constant_with_warmup","50","7",,"0.01","1.0","6",""
"zenless-lab/sdxl-aam-xl-anime-mix","subject","EG","64","64","plain","prodigy","16","12","1","1.1","1.1","constant_with_warmup","100","6",,"0.01","0.9","8",""
"zenless-lab/sdxl-anima-pencil-xl-v5","style","ECH","32","32","conv","adamw","48","4","2","2.5E-05","1E-06","constant_with_warmup","25","6","0.02","0.01",,"4",""
"zenless-lab/sdxl-anima-pencil-xl-v5","style","CH","32","32","conv","adamw","45","8","1","3E-05","1.2E-06","cosine","50","6","0.025","0.01",,"4",""
"zenless-lab/sdxl-anima-pencil-xl-v5","style","M","32","32","conv","adamw","36","8","1","3.5E-05","1.4E-06","cosine","75","6","0.03","0.01",,"4",""
"zenless-lab/sdxl-anima-pencil-xl-v5","style","G","32","32","conv","adamw","26","10","1","4E-05","1.6E-06","cosine","100","6","0.035","0.01",,"6",""
"zenless-lab/sdxl-anima-pencil-xl-v5","style","EG","32","32","conv","adamw","16","12","1","4.5E-05","1.8E-06","cosine","120","6","0.04","0.01",,"8",""
"zenless-lab/sdxl-anima-pencil-xl-v5","subject","ECH","32","32","plain","prodigy","48","4","2","0.9","0.9","constant",,"6",,"0.01","1.2","4",""
"zenless-lab/sdxl-anima-pencil-xl-v5","subject","CH","32","32","plain","prodigy","45","8","1","0.95","0.95","constant",,"6",,"0.01","1.1","4",""
"zenless-lab/sdxl-anima-pencil-xl-v5","subject","M","32","32","plain","prodigy","36","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"zenless-lab/sdxl-anima-pencil-xl-v5","subject","G","32","32","plain","prodigy","26","10","1","1.05","1.05","constant_with_warmup","75","6",,"0.01","1.0","6",""
"zenless-lab/sdxl-anima-pencil-xl-v5","subject","EG","32","32","plain","prodigy","16","12","1","1.1","1.1","constant_with_warmup","100","6",,"0.01","0.9","8",""
"zenless-lab/sdxl-anything-xl","style","ECH","32","32","conv","adamw","48","4","2","2.5E-05","1E-06","constant_with_warmup","25","6","0.02","0.01",,"4",""
"zenless-lab/sdxl-anything-xl","style","CH","32","32","conv","adamw","45","8","1","3E-05","1.2E-06","cosine","50","6","0.025","0.01",,"4",""
"zenless-lab/sdxl-anything-xl","style","M","32","32","conv","adamw","36","8","1","3.5E-05","1.4E-06","cosine","75","6","0.03","0.01",,"4",""
"zenless-lab/sdxl-anything-xl","style","G","32","32","conv","adamw","26","10","1","4E-05","1.6E-06","cosine","100","6","0.035","0.01",,"6",""
"zenless-lab/sdxl-anything-xl","style","EG","32","32","conv","adamw","16","12","1","4.5E-05","1.8E-06","cosine","120","6","0.04","0.01",,"8",""
"zenless-lab/sdxl-anything-xl","subject","ECH","32","32","plain","prodigy","48","4","2","0.9","0.9","constant",,"6",,"0.01","1.2","4",""
"zenless-lab/sdxl-anything-xl","subject","CH","32","32","plain","prodigy","45","8","1","0.95","0.95","constant",,"6",,"0.01","1.1","4",""
"zenless-lab/sdxl-anything-xl","subject","M","32","32","plain","prodigy","36","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"zenless-lab/sdxl-anything-xl","subject","G","32","32","plain","prodigy","26","10","1","1.05","1.05","constant_with_warmup","75","6",,"0.01","1.0","6",""
"zenless-lab/sdxl-anything-xl","subject","EG","32","32","plain","prodigy","16","12","1","1.1","1.1","constant_with_warmup","100","6",,"0.01","0.9","8",""
"zenless-lab/sdxl-blue-pencil-xl-v7","style","ECH","32","32","conv","adamw","50","4","2","2.5E-05","1E-06","constant_with_warmup","25","6","0.02","0.01",,"4",""
"zenless-lab/sdxl-blue-pencil-xl-v7","style","CH","32","32","conv","adamw","180","8","1","1.0","1.0","constant","0","5","0.05","0.01",,"4",""
"zenless-lab/sdxl-blue-pencil-xl-v7","style","M","32","32","conv","adamw","38","8","1","3.5E-05","1.4E-06","cosine","75","6","0.03","0.01",,"4",""
"zenless-lab/sdxl-blue-pencil-xl-v7","style","G","32","32","conv","adamw","28","10","1","4E-05","1.6E-06","cosine","100","6","0.035","0.01",,"6",""
"zenless-lab/sdxl-blue-pencil-xl-v7","style","EG","32","32","conv","adamw","18","12","1","4.5E-05","1.8E-06","cosine","120","6","0.04","0.01",,"8",""
"zenless-lab/sdxl-blue-pencil-xl-v7","subject","ECH","64","64","conv","prodigy","70","4","2","0.9","0.9","constant",,"6",,"0.01","1.2","4",""
"zenless-lab/sdxl-blue-pencil-xl-v7","subject","CH","64","64","conv","prodigy","60","8","1","0.95","0.95","constant",,"6",,"0.01","1.1","4",""
"zenless-lab/sdxl-blue-pencil-xl-v7","subject","M","64","64","conv","prodigy","45","8","1","1.0","1.0","constant_with_warmup","50","6",,"0.01","1.1","4",""
"zenless-lab/sdxl-blue-pencil-xl-v7","subject","G","64","64","conv","prodigy","28","10","1","1.05","1.05","constant_with_warmup","75","6",,"0.01","1.0","6",""
"zenless-lab/sdxl-blue-pencil-xl-v7","subject","EG","64","64","conv","prodigy","18","12","1","1.1","1.1","constant_with_warmup","100","6",,"0.01","0.9","8",""
